GSS_CODE,population_density,Name
E09000001,0.002738699,City of London
E09000002,0.005950457,Barking and Dagenham
E09000003,0.00463828,Barnet
E09000004,0.004174351,Bexley
E09000005,0.007880852,Brent
E09000006,0.002226611,Bromley
E09000007,0.011727135,Camden
E09000008,0.004584177,Croydon
E09000009,0.006376603,Ealing
E09000010,0.004199823,Enfield
E09000011,0.006119297,Greenwich
E09000012,0.015036203,Hackney
E09000013,0.011347799,Hammersmith and Fulham
E09000014,0.009660966,Haringey
E09000015,0.005129745,Harrow
E09000016,0.002302232,Havering
E09000017,0.002701503,Hillingdon
E09000018,0.005025893,Hounslow
E09000019,0.016261331,Islington
E09000020,0.013240748,Kensington and Chelsea
E09000021,0.004846814,Kingston upon Thames
E09000022,0.012608264,Lambeth
E09000023,0.008934091,Lewisham
E09000024,0.005593448,Merton
E09000025,0.009930552,Newham
E09000026,0.00545366,Redbridge
E09000027,0.003496155,Richmond upon Thames
E09000028,0.011339153,Southwark
E09000029,0.004781766,Sutton
E09000030,0.016363757,Tower Hamlets
E09000031,0.007389617,Waltham Forest
E09000032,0.009596847,Wandsworth
E09000033,0.012031053,Westminster
